TNR,TPR,attack,attack_params,attacked_policy,balanced_accuracy,detector,detector_params,matrix,norm,other_reward,other_reward_std,recovered_reward,recovered_reward_std
1.0,1.0,Empty,,PT1,1.0,DBSCAN,,[[19500.     0.]  [    0.     0.]],min-max,-1003801.94,7.420000000000002,-73399.19,9419.489409139967
0.9228295819935691,0.189873417721519,STAttack,"epsilon: 0.1, beta: 0.9, total: 100, temperature: 3",PT1,0.5563514998575441,DBSCAN,,[[14350.  1200.]  [ 3200.   750.]],min-max,-869286.64,14.979999999999997,-55100.22,7679.787042073496
0.9539007092198581,0.037037037037037035,UniformAttack,"epsilon: 0.1, freq: 0.25",PT1,0.49546887312844756,DBSCAN,,[[13450.   650.]  [ 5200.   200.]],min-max,-833868.98,111.86000000000001,-77380.85,10610.910700901219
0.9394703656998739,0.12188268352651914,VFAttack,"epsilon: 0.1, beta: 9",PT1,0.5306765246131965,DBSCAN,,[[15645.  1008.]  [ 2500.   347.]],min-max,-1261698.87,6696.409999999999,-94171.43,14322.190974850884
1.0,1.0,Empty,,PT1,1.0,Kernel_Density,,[[19500.     0.]  [    0.     0.]],min-max,-1003801.94,7.420000000000002,-73399.19,9419.489409139967
1.0,0.0,STAttack,"epsilon: 0.1, beta: 0.9, total: 100, temperature: 3",PT1,0.5,Kernel_Density,,[[15650.     0.]  [ 3850.     0.]],min-max,-869286.64,14.979999999999997,-55104.22,7679.787042073496
1.0,0.0,UniformAttack,"epsilon: 0.1, freq: 0.25",PT1,0.5,Kernel_Density,,[[14100.     0.]  [ 5400.     0.]],min-max,-833868.98,111.86000000000001,-77380.85,10610.910700901219
1.0,0.0,VFAttack,"epsilon: 0.1, beta: 9",PT1,0.5,Kernel_Density,,[[16653.     0.]  [ 2847.     0.]],min-max,-1261698.87,6696.409999999999,-94171.43,14322.190974850884
1.0,1.0,Empty,,PT1,1.0,KNN-Hyper,,[[19500.     0.]  [    0.     0.]],min-max,-1003801.94,7.420000000000002,-73399.19,9419.489409139967
0.9228295819935691,0.189873417721519,STAttack,"epsilon: 0.1, beta: 0.9, total: 100, temperature: 3",PT1,0.5563514998575441,KNN-Hyper,,[[14350.  1200.]  [ 3200.   750.]],min-max,-869286.64,14.979999999999997,-55100.22,7679.787042073496
0.9539007092198581,0.037037037037037035,UniformAttack,"epsilon: 0.1, freq: 0.25",PT1,0.49546887312844756,KNN-Hyper,,[[13450.   650.]  [ 5200.   200.]],min-max,-833868.98,111.86000000000001,-77380.85,10610.910700901219
0.9394703656998739,0.12188268352651914,VFAttack,"epsilon: 0.1, beta: 9",PT1,0.5306765246131965,KNN-Hyper,,[[15645.  1008.]  [ 2500.   347.]],min-max,-1261698.87,6696.409999999999,-94171.43,14322.190974850884
0.9949743589743589,1.0,Empty,,PT1,0.9949743589743589,DBSCAN,,[[19402.    98.]  [    0.     0.]],z-score,-1003801.94,7.420000000000002,-73399.19,9419.489409139967
0.9972701949860724,1.0,STAttack,"epsilon: 0.1, beta: 0.9, total: 100, temperature: 3",PT1,0.9986350974930363,DBSCAN,,[[17901.    49.]  [    0.  1550.]],z-score,-1003801.94,7.420000000000002,-73399.19,9419.489409139967
0.9930496453900709,1.0,UniformAttack,"epsilon: 0.1, freq: 0.25",PT1,0.9965248226950354,DBSCAN,,[[14002.    98.]  [    0.  5400.]],z-score,-1003801.94,7.420000000000002,-73399.19,9419.489409139967
0.9944785621725167,1.0,VFAttack,"epsilon: 0.1, beta: 9",PT1,0.9972392810862584,DBSCAN,,[[17651.    98.]  [    0.  1751.]],z-score,-1003801.94,7.420000000000002,-73399.19,9419.489409139967
0.9974871794871795,1.0,Empty,,PT1,0.9974871794871795,Kernel_Density,,[[19451.    49.]  [    0.     0.]],z-score,-1003801.94,7.420000000000002,-73399.19,9419.489409139967
0.7348993288590604,0.33695652173913043,STAttack,"epsilon: 0.1, beta: 0.9, total: 100, temperature: 3",PT1,0.5359279252990954,Kernel_Density,,[[10950.  3950.]  [ 3050.  1550.]],z-score,-3202391.44,13.580000000000002,-275668.6,39321.23853644492
0.6853900709219858,0.33166666666666667,UniformAttack,"epsilon: 0.1, freq: 0.25",PT1,0.5085283687943263,Kernel_Density,,[[9664. 4436.]  [3609. 1791.]],z-score,-40101.19,760.83,-19210.78,2232.2886308898323
0.9463811514774846,0.2504164353137146,VFAttack,"epsilon: 0.1, beta: 9",PT1,0.5983987933955996,Kernel_Density,,[[16750.   949.]  [ 1350.   451.]],z-score,-1003801.94,7.420000000000002,-64001.19,8075.495016957166
0.9949743589743589,1.0,Empty,,PT1,0.9949743589743589,KNN-Hyper,,[[19402.    98.]  [    0.     0.]],z-score,-1003801.94,7.420000000000002,-73399.19,9419.489409139967
0.9972701949860724,1.0,STAttack,"epsilon: 0.1, beta: 0.9, total: 100, temperature: 3",PT1,0.9986350974930363,KNN-Hyper,,[[17901.    49.]  [    0.  1550.]],z-score,-1003801.94,7.420000000000002,-73399.19,9419.489409139967
0.9930496453900709,1.0,UniformAttack,"epsilon: 0.1, freq: 0.25",PT1,0.9965248226950354,KNN-Hyper,,[[14002.    98.]  [    0.  5400.]],z-score,-1003801.94,7.420000000000002,-73399.19,9419.489409139967
0.9944785621725167,1.0,VFAttack,"epsilon: 0.1, beta: 9",PT1,0.9972392810862584,KNN-Hyper,,[[17651.    98.]  [    0.  1751.]],z-score,-1003801.94,7.420000000000002,-73399.19,9419.489409139967
